Student_ID,Gender,Age,Programming_Skill_Level,Abstraction_Score,Decomposition_Score,Algorithmic_Thinking_Score,Debugging_Score,Pattern_Recognition_Score,Pre_Test_Score,Improvement_Score,Post_Test_Score
S0001,F,24,Beginner,5,4,2,2,4,70,13,83
S0002,M,20,Beginner,5,1,3,1,5,61,25,86
S0003,F,20,Beginner,3,5,5,4,1,51,17,68
S0004,F,9,Advanced,3,3,3,5,3,46,1,47
S0005,F,12,Advanced,1,3,4,5,2,59,19,78
S0006,M,18,Beginner,4,5,2,3,4,61,18,79
S0007,F,8,Advanced,2,4,3,2,4,42,23,65
S0008,F,21,Advanced,4,5,1,1,4,44,30,74
S0009,F,14,Intermediate,4,2,2,3,3,51,7,58
S0010,M,13,Beginner,5,4,3,3,1,51,5,56
S0011,F,25,Advanced,3,5,3,2,5,66,19,85
S0012,F,18,Advanced,5,1,2,1,5,65,6,71
S0013,F,22,Beginner,2,4,5,1,2,59,24,83
S0014,F,22,Intermediate,1,5,1,5,1,62,12,74
S0015,M,22,Beginner,2,1,2,1,1,61,1,62
S0016,F,6,Intermediate,5,5,1,3,3,46,21,67
S0017,M,13,Beginner,5,2,1,5,4,61,6,67
S0018,M,24,Beginner,5,3,2,1,1,51,0,51
S0019,M,11,Beginner,5,5,3,2,4,41,5,46
S0020,F,8,Beginner,4,4,5,3,3,53,15,68
S0021,M,32,Intermediate,1,5,1,4,2,62,7,69
S0022,F,10,Intermediate,4,5,1,2,2,55,12,67
S0023,M,18,Advanced,5,5,3,2,4,63,22,85
S0024,M,20,Beginner,3,5,2,1,4,46,17,63
S0025,M,19,Intermediate,4,4,5,5,1,43,13,56
S0026,M,34,Intermediate,5,4,1,5,3,59,17,76
S0027,M,28,Intermediate,5,5,1,3,2,67,28,95
S0028,M,21,Beginner,1,3,2,1,1,44,3,47
S0029,M,23,Advanced,2,5,3,5,5,53,14,67
S0030,M,27,Intermediate,4,4,4,4,1,48,4,52
S0031,F,34,Beginner,4,2,3,1,4,44,20,64
S0032,F,27,Intermediate,4,5,1,1,5,41,13,54
S0033,M,16,Intermediate,5,5,1,5,1,44,15,59
S0034,M,8,Advanced,1,5,5,2,3,70,14,84
S0035,M,27,Intermediate,5,5,3,1,2,68,10,78
S0036,F,15,Intermediate,5,1,4,2,5,42,1,43
S0037,M,15,Beginner,3,5,5,3,3,49,22,71
S0038,F,35,Beginner,1,4,4,3,1,47,23,70
S0039,F,26,Advanced,4,4,5,5,4,65,29,94
S0040,F,21,Beginner,2,1,3,3,4,49,17,66
S0041,F,17,Beginner,4,5,1,5,3,68,3,71
S0042,F,7,Advanced,5,3,4,5,4,41,14,55
S0043,M,14,Intermediate,1,5,3,2,2,53,11,64
S0044,M,29,Advanced,1,4,4,2,3,66,26,92
S0045,M,8,Beginner,1,2,3,3,3,43,26,69
S0046,M,29,Advanced,3,2,5,2,4,60,2,62
S0047,M,35,Intermediate,4,3,3,1,3,51,3,54
S0048,F,30,Advanced,3,5,5,4,1,59,20,79
S0049,M,35,Beginner,2,1,1,1,5,68,15,83
S0050,M,20,Beginner,5,5,5,1,5,53,5,58
S0051,F,8,Advanced,3,3,2,5,4,55,1,56
S0052,M,24,Intermediate,3,3,1,4,2,44,25,69
S0053,F,23,Advanced,5,3,3,5,2,65,21,86
S0054,M,13,Intermediate,1,2,3,2,4,55,8,63
S0055,F,31,Intermediate,5,5,2,2,4,66,11,77
S0056,M,22,Advanced,4,5,3,4,3,68,11,79
S0057,M,13,Intermediate,5,1,1,3,2,43,26,69
S0058,F,12,Beginner,1,3,1,2,5,68,23,91
S0059,F,35,Advanced,5,3,5,1,4,42,30,72
S0060,F,12,Intermediate,3,4,4,4,5,40,30,70
S0061,F,8,Beginner,2,4,3,4,5,69,13,82
S0062,F,6,Advanced,3,2,2,2,2,43,16,59
S0063,F,9,Beginner,2,5,1,2,5,48,8,56
S0064,F,30,Beginner,5,1,1,5,3,40,11,51
S0065,F,10,Beginner,4,1,1,5,3,55,26,81
S0066,M,6,Intermediate,5,3,4,1,2,62,9,71
S0067,M,20,Advanced,1,1,4,4,3,42,10,52
S0068,F,10,Advanced,5,3,3,3,4,63,1,64
S0069,M,18,Intermediate,2,5,2,3,2,45,30,75
S0070,M,13,Advanced,3,1,4,4,5,52,27,79
S0071,M,13,Beginner,4,3,5,1,4,56,15,71
S0072,M,10,Advanced,5,5,4,5,2,54,26,80
S0073,F,33,Intermediate,5,5,1,5,5,65,0,65
S0074,M,14,Beginner,3,3,2,5,5,60,21,81
S0075,F,6,Intermediate,4,3,3,3,5,69,28,97
S0076,M,9,Beginner,5,2,4,3,5,51,0,51
S0077,M,8,Beginner,5,5,1,1,5,68,30,98
S0078,M,7,Advanced,2,3,5,3,2,47,21,68
S0079,F,13,Beginner,2,5,5,2,3,66,1,67
S0080,M,28,Intermediate,1,1,3,3,5,70,11,81
S0081,F,14,Advanced,3,4,3,5,4,55,26,81
S0082,M,7,Intermediate,4,4,4,1,2,42,22,64
S0083,F,19,Beginner,5,3,3,4,1,67,22,89
S0084,M,19,Intermediate,5,3,1,4,3,67,27,94
S0085,F,9,Intermediate,1,5,1,1,4,43,19,62
S0086,F,35,Beginner,5,3,1,2,5,46,17,63
S0087,M,11,Advanced,3,5,4,4,2,54,11,65
S0088,F,16,Intermediate,1,3,4,5,2,50,26,76
S0089,M,8,Beginner,3,5,3,4,5,55,22,77
S0090,M,13,Advanced,1,3,4,4,4,61,0,61
S0091,M,8,Advanced,5,2,1,5,2,70,27,97
S0092,M,19,Advanced,1,5,2,3,3,53,26,79
S0093,M,33,Intermediate,2,2,1,2,4,62,10,72
S0094,M,18,Intermediate,4,2,2,5,5,52,1,53
S0095,M,18,Intermediate,5,2,3,5,4,48,11,59
S0096,M,7,Advanced,4,2,5,1,4,64,30,94
S0097,M,18,Intermediate,5,1,4,2,1,57,1,58
